Order ID,Clothing Type,Size,Color,Material,Pattern,Brand,Gender,Packaging,Special Request,Price,Quantity
1001,T-Shirt,XS,Pink,Cotton,Graphic,Modern Wear,Men,Luxury Box,Custom Embroidery,24,3
1002,Blazer,L,Gray,Wool,Plaid,Street Style,Women,Eco-Friendly Packaging,None,77,3
1003,T-Shirt,XS,Pink,Leather,Striped,Elite Apparel,Unisex,Standard Bag,Personalized Print,39,7
1004,Polo Shirt,M,Beige,Rayon,Floral,Street Style,Women,Eco-Friendly Packaging,Gift Wrap,111,3
1005,Jacket,L,Black,Leather,Camouflage,TrendSetter,Men,Gift Box,Monogramming,143,5
1006,Hoodie,XL,Pink,Leather,Floral,TrendSetter,Unisex,Standard Bag,Monogramming,27,9
1007,Shorts,XXL,Green,Linen,Camouflage,TrendSetter,Unisex,Luxury Box,None,34,2
1008,Polo Shirt,L,Gray,Polyester,Graphic,TrendSetter,Women,Gift Box,Monogramming,142,2
1009,Dress,XS,Purple,Cotton,Graphic,Vintage Vibes,Women,Luxury Box,None,70,10
1010,Blazer,S,Yellow,Silk,Solid,TrendSetter,Women,Standard Bag,None,38,8
1011,Blazer,M,White,Rayon,Floral,Elite Apparel,Men,Standard Bag,Monogramming,78,3
1012,Hoodie,M,Gray,Silk,Polka Dots,Street Style,Unisex,Eco-Friendly Packaging,Gift Wrap,107,10
1013,Dress,S,Black,Leather,Graphic,Urban Edge,Men,Eco-Friendly Packaging,Custom Embroidery,137,5
1014,Dress,XS,Red,Rayon,Graphic,Urban Edge,Unisex,Eco-Friendly Packaging,Custom Embroidery,116,2
1015,Hoodie,S,Pink,Rayon,Floral,Modern Wear,Men,Standard Bag,Monogramming,148,6
1016,Shorts,S,Beige,Wool,Camouflage,Classic Co.,Women,Standard Bag,Personalized Print,32,7
1017,Shorts,L,White,Leather,Graphic,TrendSetter,Men,Gift Box,Gift Wrap,37,9
1018,Sweater,XL,Black,Wool,Striped,Elite Apparel,Men,Luxury Box,Custom Embroidery,130,6
1019,Hoodie,L,Black,Silk,Camouflage,Classic Co.,Unisex,Luxury Box,Personalized Print,33,4
1020,Sweater,M,Gray,Denim,Floral,TrendSetter,Women,Luxury Box,Custom Embroidery,131,9
1021,Jacket,XS,White,Wool,Animal Print,Elite Apparel,Unisex,Standard Bag,Gift Wrap,133,3
1022,Shorts,S,Red,Silk,Camouflage,Classic Co.,Unisex,Eco-Friendly Packaging,Monogramming,75,10
1023,Skirt,XS,Red,Polyester,Camouflage,Elite Apparel,Unisex,Standard Bag,Gift Wrap,119,4
1024,T-Shirt,M,Pink,Wool,Animal Print,Elite Apparel,Women,Eco-Friendly Packaging,Gift Wrap,87,8
1025,Jeans,S,Purple,Polyester,Graphic,Classic Co.,Women,Luxury Box,Monogramming,28,8
1026,Polo Shirt,XXL,Gray,Nylon,Polka Dots,TrendSetter,Men,Gift Box,Custom Embroidery,80,5
1027,Polo Shirt,XS,Pink,Wool,Graphic,Elite Apparel,Men,Eco-Friendly Packaging,Monogramming,94,1
1028,T-Shirt,XS,Blue,Nylon,Polka Dots,TrendSetter,Women,Luxury Box,Monogramming,115,10
1029,Blazer,XXL,Beige,Nylon,Camouflage,TrendSetter,Men,Luxury Box,Custom Embroidery,57,2
1030,Skirt,XL,Green,Cotton,Striped,Street Style,Women,Gift Box,Custom Embroidery,133,5
1031,Shorts,S,White,Cotton,Camouflage,Urban Edge,Men,Eco-Friendly Packaging,Custom Embroidery,50,9
1032,Polo Shirt,XS,Yellow,Rayon,Animal Print,Vintage Vibes,Men,Eco-Friendly Packaging,Monogramming,132,8
1033,Blazer,L,Green,Leather,Floral,Urban Edge,Men,Gift Box,None,122,1
1034,Skirt,XS,Blue,Cotton,Graphic,Vintage Vibes,Men,Eco-Friendly Packaging,Gift Wrap,34,1
1035,Polo Shirt,XL,Blue,Nylon,Animal Print,Elite Apparel,Men,Luxury Box,Personalized Print,122,10
1036,Dress,S,Gray,Cotton,Polka Dots,Modern Wear,Unisex,Gift Box,Monogramming,104,8
1037,T-Shirt,XL,Gray,Rayon,Floral,Urban Edge,Women,Gift Box,None,127,8
1038,Shorts,S,Red,Rayon,Floral,Urban Edge,Women,Gift Box,Personalized Print,82,7
1039,Shorts,XL,Green,Silk,Floral,TrendSetter,Men,Luxury Box,Custom Embroidery,61,1
1040,Jacket,XXL,Green,Silk,Floral,Elite Apparel,Unisex,Gift Box,None,53,10
1041,Dress,S,Pink,Nylon,Graphic,Modern Wear,Unisex,Eco-Friendly Packaging,Monogramming,20,1
1042,Shorts,S,Blue,Leather,Striped,Urban Edge,Men,Eco-Friendly Packaging,Monogramming,116,10
1043,Shorts,M,Pink,Wool,Striped,Classic Co.,Men,Luxury Box,Gift Wrap,109,7
1044,Polo Shirt,M,Green,Nylon,Polka Dots,Street Style,Unisex,Eco-Friendly Packaging,Personalized Print,115,10
1045,Sweater,S,Gray,Wool,Striped,Street Style,Unisex,Luxury Box,Personalized Print,135,5
1046,T-Shirt,XS,Purple,Silk,Solid,Urban Edge,Unisex,Gift Box,Monogramming,64,8
1047,Skirt,M,Green,Polyester,Solid,Urban Edge,Women,Luxury Box,Custom Embroidery,104,7
1048,T-Shirt,XXL,Purple,Denim,Graphic,Modern Wear,Unisex,Standard Bag,Gift Wrap,87,9
1049,Jacket,S,White,Polyester,Plaid,Elite Apparel,Women,Eco-Friendly Packaging,Gift Wrap,64,9
1050,T-Shirt,XL,Gray,Wool,Camouflage,Urban Edge,Women,Luxury Box,Gift Wrap,31,3
1051,Shorts,XL,Yellow,Wool,Plaid,Vintage Vibes,Women,Eco-Friendly Packaging,Custom Embroidery,92,3
1052,Jacket,M,Green,Cotton,Graphic,Modern Wear,Women,Standard Bag,Monogramming,144,9
1053,Skirt,XL,Blue,Leather,Graphic,Vintage Vibes,Women,Gift Box,Custom Embroidery,48,3
1054,Jacket,S,White,Wool,Solid,Vintage Vibes,Women,Gift Box,Personalized Print,70,4
1055,Dress,XL,Red,Wool,Animal Print,Vintage Vibes,Men,Luxury Box,Custom Embroidery,85,2
1056,Sweater,M,Purple,Rayon,Graphic,Vintage Vibes,Men,Gift Box,Monogramming,147,10
1057,Blazer,XS,Green,Cotton,Solid,Vintage Vibes,Women,Standard Bag,Gift Wrap,100,2
1058,Jeans,XXL,Gray,Rayon,Floral,Vintage Vibes,Women,Eco-Friendly Packaging,Custom Embroidery,30,3
1059,Hoodie,XXL,Purple,Linen,Camouflage,Elite Apparel,Women,Luxury Box,Monogramming,116,5
1060,Blazer,XXL,White,Cotton,Animal Print,Urban Edge,Men,Luxury Box,Custom Embroidery,110,3
1061,Jeans,XL,Beige,Denim,Floral,Vintage Vibes,Men,Gift Box,Gift Wrap,80,9
1062,Jeans,M,Purple,Denim,Polka Dots,Elite Apparel,Women,Standard Bag,Personalized Print,85,4
1063,Skirt,L,Purple,Cotton,Floral,Vintage Vibes,Unisex,Standard Bag,Gift Wrap,109,7
1064,Jeans,XL,Beige,Rayon,Solid,Street Style,Men,Gift Box,Custom Embroidery,24,9
1065,Shorts,XL,Blue,Nylon,Camouflage,TrendSetter,Unisex,Gift Box,Custom Embroidery,86,4
